src	tgt	voc	tok	model	bleu	low_conf_bleu	high_conf_bleu	chrf	low_conf_chrf	high_conf_chrf	chrf++	low_conf_chrf++	high_conf_chrf++	comet	low_conf_comet	high_conf_comet	norm_comet	enc_layers	dec_layers	embs	ffw	params	xPIES	PIES	REVx	REV	efficiency_score	enc/dec ratio	embs/ffw ratio	size_tag	layer sum	layer diff	embs/num_layers	embs/enc	embs/dec	lines	toks	toks/line	ffw/enc	ffw/dec
eng	mni	4000	bpe.nof	6_6_256_512_2	17.37898625	17.2347094	17.5232631	44.2237684	44.0933143	44.35422251	40.52632583	40.39308959	40.65956208	0.6928232856	0.6922325274	0.6934140438	69.25258305	6	6	256	512	9955328	2.842895689	0.2251126116	0.9346058228	0.940438384	-0.2611672864	1.000	0.500	small	12	0	21.333	42.667	42.667	21688	715548	32.99280708	85.333	85.333
deu	dsb	4000	bpe.nof	2_6_256_1024_2	28.35459652	28.24309737	28.46609568	44.32912185	44.22082822	44.43741549	43.67129422	43.56502259	43.77756584	0.6279266226	0.627220576	0.6286326692	62.72516742	2	6	256	1024	9948160	2.835526434	0.224415905	1.006040331	0.9760682967	1.250647663	0.333	0.250	small	8	-4	32.000	128.000	42.667	40195	1032701	25.69227516	512.000	170.667
eng	akk	4000	bpe.nof	12_4_256_256_2	26.6814586	26.48645206	26.87646513	28.97312809	28.7990448	29.14721137	25.57554919	25.42243101	25.72866737	0.9264734669	0.925809505	0.9271374288	92.64347483	12	4	256	256	9435136	16538595.9	0.3256512715	0.5534566956	0.743381301	-9.927333058	3.000	1.000	small	16	8	16.000	21.333	64.000	45270	630535	13.92831898	21.333	64.000
eng_wiki	ita_wiki	4000	bpe.nof	6_6_256_512_2	13.50721414	13.45656714	13.55786114	45.13580483	45.07917704	45.19243263	41.87064497	41.81503024	41.9262597	0.605479022	0.6046123113	0.6063457327	60.49582671	6	6	256	512	9955328	2.785450731	0.2205638747	0.9554504313	0.9508678984	0.2048570133	1.000	0.500	small	12	0	21.333	42.667	42.667	50000	1723391	34.46782	85.333	85.333
eng	mni	4000	bpe.nof	8_4_256_512_2	15.21150169	15.08503877	15.33796462	41.64087424	41.52179029	41.75995819	38.03598104	37.91485589	38.15710618	0.679744834	0.67918092	0.680308748	67.95352261	8	4	256	512	9427968	2.970336084	0.2264113848	0.8749719684	0.9350437076	-2.856706274	2.000	0.500	small	12	4	21.333	32.000	64.000	21688	715548	32.99280708	64.000	128.000
eng	akk	4000	bpe.nof	2_6_256_1024_2	26.60914102	26.40730049	26.81098156	28.1288471	27.95855665	28.29913755	24.82704015	24.67537487	24.97870544	0.9283009306	0.9276996267	0.9289022346	92.80921802	2	6	256	1024	9948160	18659910.53	0.3536639794	0.4947686126	0.6845002035	-10.21490807	0.333	0.250	small	8	-4	32.000	128.000	42.667	45270	630535	13.92831898	512.000	170.667
deu	dsb	4000	bpe.nof	6_8_256_256_2	27.48426586	27.37577695	27.59275476	42.48156179	42.36945928	42.59366431	42.00121566	41.89120963	42.11122169	0.6163769923	0.6156427674	0.6171112172	61.57488486	6	8	256	256	9698304	2.936352994	0.2282944315	0.9477309268	0.959485734	-0.5118266809	0.750	1.000	small	14	-2	18.286	42.667	32.000	40195	1032701	25.69227516	42.667	32.000
eng_wiki	ita_wiki	4000	bpe.nof	2_6_256_1024_2	13.43388769	13.38227061	13.48550476	44.78713212	44.72839507	44.84586917	41.51861051	41.46079674	41.57642427	0.6085519204	0.6076458024	0.6094580384	60.79485105	2	6	256	1024	9948160	2.806529261	0.2221209425	0.9414236376	0.9442023141	-0.1251846727	0.333	0.250	small	8	-4	32.000	128.000	42.667	50000	1723391	34.46782	512.000	170.667
eng	mni	4000	bpe.nof	12_4_256_256_2	15.01023885	14.8799169	15.14056081	39.35708407	39.22861029	39.48555784	35.94220168	35.8122403	36.07216307	0.6750058001	0.6744182169	0.6755933832	67.48201091	12	4	256	256	9435136	3.143413652	0.2397315813	0.7810345145	0.8830899103	-5.134856118	3.000	1.000	small	16	8	16.000	21.333	64.000	21688	715548	32.99280708	21.333	64.000
deu	dsb	4000	bpe.nof	6_6_256_512_2	27.3954256	27.28381475	27.50703645	42.86690956	42.75326218	42.98055694	42.47719513	42.36689378	42.58749648	0.6201872014	0.6194494844	0.6209249185	62.00291063	6	6	256	512	9955328	2.932881373	0.232238062	0.940088354	0.9431927235	-0.1339550561	1.000	0.500	small	12	0	21.333	42.667	42.667	40195	1032701	25.69227516	85.333	85.333
