src	tgt	voc	tok	model	bleu	low_conf_bleu	high_conf_bleu	chrf	low_conf_chrf	high_conf_chrf	chrf++	low_conf_chrf++	high_conf_chrf++	comet	low_conf_comet	high_conf_comet	norm_comet	enc_layers	dec_layers	embs	ffw	params	PIES	ratio_ffw_embs	sum_layers	diff_enc_dec
eng	akk	4000	bpe.nof	4_4_256_1024_2	30.0489719	29.8374087	30.2605351	38.831	38.64962337	39.01237931	33.38200101	33.22404139	33.53996062	0.9324042929	0.9317929313	0.9330156544	93.23602873	4	4	256	1024	9420800	0.243	4.00	8	0
eng	akk	4000	bpe.nof	6_4_256_1024_2	29.44618101	29.22347999	29.66888204	38.412	38.23104782	38.59235827	32.99635541	32.83693794	33.15577288	0.9327856596	0.9321906386	0.9333806805	93.28555528	6	4	256	1024	11000320	0.286	1.50	10	2
eng	mni	4000	bpe.nof	4_4_1024_1024_2	21.87858685	21.71880532	22.03836838	48.505	48.3730544	48.6375855	44.7959796	44.65866292	44.93329627	0.706538885	0.7059179553	0.7071598148	70.59905895	4	4	1024	1024	75407360	1.555	1.00	8	0
eng	akk	4000	bpe.nof	4_6_256_1024_2	30.27307756	30.05742842	30.4887267	39.589	39.40858161	39.77027877	34.08949452	33.9303336	34.24865544	0.933566779	0.9330081423	0.9341254156	93.34857511	4	6	256	1024	11527680	0.291	0.67	10	-2
eng	akk	4000	bpe.nof	4_8_256_1024_2	30.07346831	29.85605144	30.29088519	39.680	39.49105637	39.869037	34.04073814	33.87650188	34.2049744	0.9336932889	0.933138201	0.9342483769	93.38911798	4	8	256	1024	13634560	0.344	0.50	12	-4
eng	akk	4000	bpe.nof	4_4_256_2048_2	29.82450991	29.61038792	30.03863189	38.429	38.23823457	38.61998946	33.06730276	32.89997379	33.23463174	0.9330005138	0.9324155154	0.9335855122	93.28748125	4	4	256	2048	13623296	0.355	1.00	8	0
eng	akk	4000	bpe.nof	12_4_256_1024_2	27.72796362	27.51577356	27.94015368	33.210	33.02466469	33.39445071	28.91169952	28.7464161	29.07698294	0.9295983364	0.9290281391	0.9301685337	92.98822199	12	4	256	1024	15738880	0.474	3.00	16	8
eng	akk	4000	bpe.nof	4_12_256_1024_2	28.40736114	28.21176227	28.60296001	33.846	33.66902334	34.02290333	29.40126938	29.24686566	29.5556731	0.9315168238	0.9309559567	0.9320776909	93.14018875	4	12	256	1024	17848320	0.527	0.33	16	-8
eng	akk	4000	bpe.nof	4_4_256_4096_2	30.61004271	30.39265204	30.82743338	40.862	40.67402088	41.05062721	35.01518053	34.8487904	35.18157066	0.9348750283	0.9343449893	0.9354050673	93.47169813	4	4	256	4096	22028288	0.539	1.00	8	0
eng	akk	4000	bpe.nof	8_4_256_1024_2	23.95293218	23.77060742	24.13525694	23.185	23.03135654	23.33962462	20.77031112	20.63473604	20.90588619	0.9198805857	0.9191883826	0.9205727888	92.00178642	8	4	256	1024	12579840	0.543	2.00	12	4
eng	mni	4000	bpe.nof	4_32_256_1024_2	3.997351946	3.968746538	4.025957354	16.610	16.55471339	16.66515792	14.76237512	14.71210569	14.81264456	0.4215058879	0.4210015907	0.422010185	42.13587943	4	32	256	1024	38917120	2.343	0.13	36	-28
eng	akk	4000	bpe.nof	16_4_256_1024_2	27.81126673	27.59610138	28.02643208	32.554	32.36169547	32.74561893	28.41828978	28.24961672	28.58696283	0.927881745	0.9272678606	0.9284956295	92.77994379	16	4	256	1024	18897920	0.581	4.00	20	12
eng	mni	4000	bpe.nof	32_4_256_1024_2	1.563624978	1.549276705	1.577973251	8.888	8.851326834	8.924329459	7.531405035	7.498406283	7.564403787	0.4184373865	0.417965852	0.4189089209	41.80163824	32	4	256	1024	31534080	3.548	8.00	36	28
eng	akk	4000	bpe.nof	4_4_512_1024_2	30.32726791	30.11565544	30.53888039	40.488	40.30576725	40.66944822	34.67798563	34.5190049	34.83696636	0.9320746977	0.9315116789	0.9326377166	93.22181012	4	4	512	1024	25124864	0.621	1.00	8	0
eng	akk	4000	bpe.nof	24_4_256_1024_2	27.5320232	27.32755046	27.73649595	30.621	30.43686382	30.80472805	26.8413782	26.68126791	27.00148849	0.9261020789	0.9255040703	0.9267000875	92.62871423	24	4	256	1024	25216000	0.823	6.00	28	20
eng	akk	4000	bpe.nof	4_16_256_1024_2	23.25982753	23.07051024	23.44914482	16.964	16.84335152	17.08446334	15.78640358	15.67717277	15.89563439	0.9009133127	0.8999995577	0.9018270678	90.11105707	4	16	256	1024	22062080	1.301	0.25	20	-12
eng	akk	4000	bpe.nof	4_4_1024_1024_2	29.98929436	29.77081506	30.20777366	41.185	40.99034797	41.37867129	35.26502285	35.09632441	35.43372129	0.9345012547	0.9339378798	0.9350646297	93.43725562	4	4	1024	1024	75407360	1.831	1.00	8	0
deu	dsb	4000	bpe.nof	4_4_1024_1024_2	29.95616457	29.83483736	30.07749179	48.291	48.17400495	48.40744461	47.19231585	47.0800854	47.3045463	0.6499195297	0.6491536869	0.6506853726	64.94918797	4	4	1024	1024	75407360	1.562	1.00	8	0
eng_wiki	ita_wiki	4000	bpe.nof	4_4_1024_1024_2	13.4778039	13.42947196	13.52613584	45.203	45.14656552	45.25998006	41.96089337	41.90556929	42.01621745	0.6130888592	0.6122083579	0.6139693604	61.28968104	4	4	1024	1024	75407360	1.668	1.00	8	0
eng	akk	4000	bpe.nof	32_4_256_1024_2	21.49028279	21.31956119	21.66100439	16.324	16.20929283	16.43841043	15.21671684	15.11540081	15.31803288	0.8910550582	0.8900846051	0.8920255113	89.15789441	32	4	256	1024	31534080	1.932	8.00	36	28
deu	dsb	4000	bpe.nof	32_4_256_1024_2	13.81045018	13.7671729	13.85372746	15.037	14.99345659	15.08006068	16.4066827	16.36285378	16.45051161	0.4842291674	0.4838091202	0.4846492145	48.42929337	32	4	256	1024	31534080	2.097	8.00	36	28
eng_wiki	ita_wiki	4000	bpe.nof	4_32_256_1024_2	2.179518437	2.172211891	2.186824983	19.421	19.38963937	19.45280347	16.97231555	16.94512828	16.99950282	0.2585068113	0.2582940393	0.2587195834	25.85211399	4	32	256	1024	38917120	2.004	0.13	36	-28
deu	dsb	4000	bpe.nof	4_4_2048_1024_2	30.47623909	30.3552265	30.59725168	48.881	48.75954617	49.00152849	47.86600778	47.74908374	47.98293182	0.6524258197	0.6516665536	0.6531850858	65.21963864	4	4	2048	1024	251469824	5.145	1.00	8	0
eng_wiki	ita_wiki	4000	bpe.nof	4_4_2048_1024_2	14.03872652	13.98763846	14.08981458	45.612	45.5549494	45.66873167	42.37566199	42.32007512	42.43124885	0.6165120239	0.6156306548	0.617393393	61.61802765	4	4	2048	1024	251469824	5.513	1.00	8	0
eng_wiki	ita_wiki	4000	bpe.nof	4_4_4096_1024_2	12.93073271	12.8811431	12.98032232	44.062	44.00820916	44.11572331	40.85196107	40.79891261	40.90500954	0.5924584307	0.5916163081	0.5933005534	59.2478712	4	4	4096	1024	905584640	20.553	1.00	8	0
eng	akk	4000	bpe.nof	4_24_256_1024_2	15.93987985	15.80507575	16.07468396	7.759	7.696982925	7.821671314	8.35355784	8.288632447	8.418483232	0.7730707318	0.7719184214	0.7742230421	77.39576103	4	24	256	1024	30489600	3.929	0.17	28	-20
eng	mni	4000	bpe.nof	4_4_2048_1024_2	21.44828544	21.29527895	21.60129193	48.365	48.2327809	48.49762928	44.71201083	44.57689549	44.84712617	0.7034428403	0.7028295348	0.7040561458	70.28447469	4	4	2048	1024	251469824	5.199	1.00	8	0
eng	akk	4000	bpe.nof	4_32_256_1024_2	15.60524984	15.47262956	15.73787011	7.542	7.489241255	7.594781131	8.16408652	8.107968657	8.220204383	0.7953757548	0.7942752511	0.7964762585	79.6311907	4	32	256	1024	38917120	5.160	0.13	36	-28
deu	dsb	4000	bpe.nof	4_4_4096_1024_2	29.79950964	29.68268988	29.9163294	48.276	48.16057043	48.39156025	47.20824886	47.09628351	47.32021421	0.6441299569	0.6434164107	0.644843503	64.37617194	4	4	4096	1024	905584640	18.758	1.00	8	0
eng	mni	4000	bpe.nof	4_4_4096_1024_2	18.69604295	18.54584373	18.84624218	43.870	43.73365185	44.00729693	40.4107153	40.27132958	40.55010103	0.6770224247	0.676327088	0.6777177613	67.63844209	4	4	4096	1024	905584640	20.642	1.00	8	0
eng	akk	4000	bpe.nof	4_4_2048_1024_2	30.16844366	29.96505881	30.3718285	41.792	41.59685193	41.9872105	35.65278051	35.48551297	35.82004806	0.9306661968	0.930124898	0.9312074956	93.03977122	4	4	2048	1024	251469824	6.017	1.00	8	0
eng	akk	4000	bpe.nof	4_4_4096_1024_2	28.40521753	28.20393536	28.60649969	38.808	38.62411694	38.99172874	33.18882784	33.03083441	33.34682127	0.927884168	0.9273125694	0.9284557665	92.80611767	4	4	4096	1024	905584640	23.335	1.00	8	0
